PRIMER PLANTILLA Y PEQUE¥O PROYECTO ;;;;;;;;
SEGUIMIENTO DE PROYECTOS ;;;;;;;;
;Etapas;;;;;;;
Actividades;Planificacion;Dise¤o;Ejecucion;Monitores;Ajuste;Cierre;Por copletar;Completo
investigacion de mercadeo;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Definicion de publico objetivo;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Dise¤o de propuesta de valor ;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
planificacion de campa¤a en redes sociales ;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Creacion de contenidos (Posts, Videos, Ads);FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Optimizacion de sitio web y landing pages;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Gestion de Campa¤as en Meta Ads / Google Ads;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Email Marqueting automatizado;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Colaboraciones con influencers ;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Estrategia de Seo yBlog;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Prioduccion de material audio visual ;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Gestion de presupuesto y crono grama ;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Monitores de KPIs en looker Studio ;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
optimizacion de coversiones (CRO);FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Pruebas A/B en anuncios y Landing Pages;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Gestion de comunidad (Respuesta y Engagement);FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Reporte semanal de Resultados ;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
Analisis post-campa¤a y aprendizajes;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;100%;0%
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;FALSO;FALSO;;;;
